=== 2026-04-25T15:55:35+02:00 ===
tp-1a201-24.enst.fr: 1m=0.05 5m=0.06 15m=0.02
tp-1a201-25.enst.fr: 1m=0.03 5m=0.08 15m=0.03
tp-1a201-26.enst.fr: 1m=0.13 5m=0.06 15m=0.02
tp-1a201-27.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a201-28.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a201-29.enst.fr: 1m=0.08 5m=0.06 15m=0.02
tp-1a201-30.enst.fr: 1m=0.00 5m=0.02 15m=0.00
tp-1a201-31.enst.fr: 1m=0.02 5m=0.05 15m=0.02
tp-1a201-32.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a201-33.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a201-34.enst.fr: 1m=0.01 5m=0.01 15m=0.00
tp-1a201-36.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a201-37.enst.fr: 1m=0.00 5m=0.01 15m=0.00
tp-1a201-38.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a201-39.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a201-40.enst.fr: 1m=0.01 5m=0.02 15m=0.00
tp-1a207-00.enst.fr: 1m=0.02 5m=0.03 15m=0.00
tp-1a207-01.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a207-02.enst.fr: 1m=0.10 5m=0.04 15m=0.01
tp-1a207-03.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a207-04.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a207-05.enst.fr: 1m=0.00 5m=0.01 15m=0.00
tp-1a207-06.enst.fr: 1m=0.16 5m=0.09 15m=0.03
tp-1a207-07.enst.fr: 1m=0.02 5m=0.06 15m=0.08
tp-1a207-08.enst.fr: 1m=0.02 5m=0.02 15m=0.00
tp-1a207-09.enst.fr: 1m=0.16 5m=0.08 15m=0.03
tp-1a207-11.enst.fr: 1m=0.02 5m=0.02 15m=0.00
tp-1a207-12.enst.fr: 1m=0.16 5m=0.04 15m=0.01
tp-1a207-13.enst.fr: 1m=0.17 5m=0.06 15m=0.02
tp-1a207-14.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a207-15.enst.fr: 1m=0.02 5m=0.02 15m=0.00
tp-1a207-16.enst.fr: 1m=0.03 5m=0.04 15m=0.01
tp-1a207-17.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a207-18.enst.fr: 1m=0.02 5m=0.03 15m=0.00
tp-1a207-19.enst.fr: 1m=0.00 5m=0.02 15m=0.00
tp-1a207-20.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a207-21.enst.fr: 1m=0.08 5m=0.08 15m=0.04
tp-1a207-22.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a207-23.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a207-24.enst.fr: 1m=0.01 5m=0.02 15m=0.00
tp-1a207-25.enst.fr: 1m=0.06 5m=0.01 15m=0.00
tp-1a207-26.enst.fr: 1m=0.01 5m=0.04 15m=0.01
tp-1a207-27.enst.fr: 1m=0.02 5m=0.03 15m=0.00
tp-1a207-29.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a207-30.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a207-32.enst.fr: 1m=0.09 5m=0.06 15m=0.02
tp-1a207-33.enst.fr: 1m=0.02 5m=0.01 15m=0.00
tp-1a207-34.enst.fr: 1m=0.00 5m=0.02 15m=0.00
tp-1a207-35.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a207-36.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a207-38.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a207-39.enst.fr: 1m=0.05 5m=0.01 15m=0.00
tp-1a207-40.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a222-01.enst.fr: 1m=0.02 5m=0.04 15m=0.01
tp-1a222-02.enst.fr: 1m=0.01 5m=0.01 15m=0.00
tp-1a222-03.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a222-04.enst.fr: 1m=0.02 5m=0.03 15m=0.00
tp-1a222-05.enst.fr: 1m=0.14 5m=0.06 15m=0.02
tp-1a222-06.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a222-07.enst.fr: 1m=0.00 5m=0.01 15m=0.00
tp-1a222-08.enst.fr: 1m=0.07 5m=0.02 15m=0.00
tp-1a222-09.enst.fr: 1m=0.05 5m=0.06 15m=0.02
tp-1a222-10.enst.fr: 1m=0.09 5m=0.06 15m=0.02
tp-1a222-11.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a222-12.enst.fr: 1m=0.05 5m=0.03 15m=0.00
tp-1a222-13.enst.fr: 1m=0.01 5m=0.00 15m=0.00
tp-1a222-14.enst.fr: 1m=0.05 5m=0.05 15m=0.01
tp-1a226-01.enst.fr: 1m=0.01 5m=0.00 15m=0.00
tp-1a226-02.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a226-03.enst.fr: 1m=0.01 5m=0.01 15m=0.00
tp-1a226-04.enst.fr: 1m=0.01 5m=0.01 15m=0.00
tp-1a226-05.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a226-06.enst.fr: 1m=0.01 5m=0.02 15m=0.00
tp-1a226-07.enst.fr: 1m=0.07 5m=0.03 15m=0.00
tp-1a226-08.enst.fr: 1m=0.02 5m=0.03 15m=0.01
tp-1a226-09.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a226-10.enst.fr: 1m=0.05 5m=0.03 15m=0.01
Average load across 100/100 hosts: 1m=0.03 5m=0.02 15m=0.01

=== 2026-05-22T09:18:40+02:00 ===

=== 2026-05-22T09:22:09+02:00 ===
tp-1a201-01.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a201-02.enst.fr: 1m=0.13 5m=0.04 15m=0.01
tp-1a201-03.enst.fr: 1m=0.03 5m=0.01 15m=0.00
tp-1a201-04.enst.fr: 1m=0.11 5m=0.05 15m=0.02
tp-1a201-05.enst.fr: 1m=0.00 5m=0.02 15m=0.00
tp-1a201-06.enst.fr: 1m=0.06 5m=0.05 15m=0.01
tp-1a201-07.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a201-08.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a201-09.enst.fr: 1m=0.01 5m=0.03 15m=0.00
tp-1a201-10.enst.fr: 1m=0.00 5m=0.02 15m=0.00
tp-1a201-11.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a201-12.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a201-13.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a201-14.enst.fr: 1m=0.07 5m=0.02 15m=0.00
tp-1a201-15.enst.fr: 1m=0.08 5m=0.04 15m=0.00
tp-1a201-16.enst.fr: 1m=0.04 5m=0.01 15m=0.00
tp-1a201-17.enst.fr: 1m=0.12 5m=0.04 15m=0.01
tp-1a201-18.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a201-19.enst.fr: 1m=0.06 5m=0.03 15m=0.00
tp-1a201-20.enst.fr: 1m=0.01 5m=0.04 15m=0.01
tp-1a201-21.enst.fr: 1m=0.02 5m=0.09 15m=0.05
tp-1a201-22.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a201-23.enst.fr: 1m=0.00 5m=0.02 15m=0.00
tp-1a201-24.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a201-25.enst.fr: 1m=0.13 5m=0.06 15m=0.01
tp-1a201-26.enst.fr: 1m=0.16 5m=0.03 15m=0.01
tp-1a201-27.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a201-28.enst.fr: 1m=0.10 5m=0.03 15m=0.01
tp-1a201-29.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a201-30.enst.fr: 1m=0.08 5m=0.03 15m=0.01
tp-1a201-31.enst.fr: 1m=0.02 5m=0.02 15m=0.00
tp-1a201-32.enst.fr: 1m=0.10 5m=0.04 15m=0.01
tp-1a201-33.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a201-34.enst.fr: 1m=0.06 5m=0.04 15m=0.01
tp-1a201-36.enst.fr: 1m=0.05 5m=0.03 15m=0.00
tp-1a201-37.enst.fr: 1m=0.04 5m=0.01 15m=0.00
tp-1a201-38.enst.fr: 1m=0.07 5m=0.04 15m=0.01
tp-1a201-39.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a201-40.enst.fr: 1m=0.01 5m=0.02 15m=0.00
tp-1a207-00.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a207-01.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a207-02.enst.fr: 1m=0.08 5m=0.03 15m=0.01
tp-1a207-03.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a207-04.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a207-05.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a207-06.enst.fr: 1m=0.00 5m=0.01 15m=0.00
tp-1a207-07.enst.fr: 1m=0.04 5m=0.10 15m=0.09
tp-1a207-08.enst.fr: 1m=0.02 5m=0.02 15m=0.00
tp-1a207-09.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a207-11.enst.fr: 1m=0.05 5m=0.08 15m=0.03
tp-1a207-12.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a207-13.enst.fr: 1m=0.00 5m=0.01 15m=0.00
tp-1a207-14.enst.fr: 1m=0.04 5m=0.02 15m=0.00
tp-1a207-15.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a207-16.enst.fr: 1m=0.02 5m=0.02 15m=0.00
tp-1a207-17.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a207-18.enst.fr: 1m=0.10 5m=0.03 15m=0.01
tp-1a207-19.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a207-20.enst.fr: 1m=0.04 5m=0.03 15m=0.00
tp-1a207-21.enst.fr: 1m=0.18 5m=0.12 15m=0.07
tp-1a207-22.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a207-23.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a207-24.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a207-25.enst.fr: 1m=0.12 5m=0.05 15m=0.01
tp-1a207-26.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a207-27.enst.fr: 1m=0.24 5m=0.06 15m=0.02
tp-1a207-29.enst.fr: 1m=0.04 5m=0.01 15m=0.00
tp-1a207-30.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a207-32.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a207-33.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a207-34.enst.fr: 1m=0.02 5m=0.02 15m=0.00
tp-1a207-35.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a207-36.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a207-38.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a207-39.enst.fr: 1m=0.27 5m=0.08 15m=0.02
tp-1a207-40.enst.fr: 1m=0.03 5m=0.01 15m=0.00
tp-1a222-01.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a222-02.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a222-03.enst.fr: 1m=0.16 5m=0.04 15m=0.01
tp-1a222-04.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a222-05.enst.fr: 1m=0.06 5m=0.02 15m=0.00
tp-1a222-06.enst.fr: 1m=0.11 5m=0.06 15m=0.01
tp-1a222-07.enst.fr: 1m=0.13 5m=0.07 15m=0.02
tp-1a222-08.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a222-09.enst.fr: 1m=0.46 5m=0.13 15m=0.04
tp-1a222-10.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a222-11.enst.fr: 1m=0.00 5m=0.01 15m=0.00
tp-1a222-12.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a222-13.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a222-14.enst.fr: 1m=0.04 5m=0.03 15m=0.00
tp-1a226-01.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a226-02.enst.fr: 1m=0.04 5m=0.04 15m=0.00
tp-1a226-03.enst.fr: 1m=0.08 5m=0.02 15m=0.00
tp-1a226-04.enst.fr: 1m=0.00 5m=0.00 15m=0.00
tp-1a226-05.enst.fr: 1m=0.03 5m=0.01 15m=0.00
tp-1a226-06.enst.fr: 1m=0.04 5m=0.04 15m=0.00
tp-1a226-07.enst.fr: 1m=0.06 5m=0.02 15m=0.00
tp-1a226-08.enst.fr: 1m=0.12 5m=0.04 15m=0.01
tp-1a226-09.enst.fr: 1m=0.21 5m=0.06 15m=0.02
tp-1a226-10.enst.fr: 1m=0.12 5m=0.03 15m=0.01
Average load across 100/100 hosts: 1m=0.05 5m=0.02 15m=0.01

